# Time (s),Altitude (m),Position East of launch (m),Position North of launch (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Lateral velocity (m/s),Lateral acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s)
23.657,7625.579,764.056,-775.261,152.746,-11.383,35.505,0.009,0.516,1.11e-7,-0.004,-4.566e-5
23.707,7633.202,765.293,-776.534,152.177,-11.37,35.506,0.007,0.516,1.11e-7,-0.001,-4.789e-5
23.757,7640.797,766.529,-777.808,151.609,-11.344,35.505,0.048,0.458,1.111e-7,9.549e-4,-4.658e-5
23.807,7648.363,767.766,-779.081,151.043,-11.311,35.501,0.12,0.344,1.114e-7,0.003,-4.566e-5
23.857,7655.901,769.003,-780.354,150.478,-11.261,35.491,0.255,0.172,1.115e-7,0.004,-4.173e-5
23.907,7663.411,770.239,-781.627,149.916,-11.22,35.476,0.361,0.056,1.116e-7,0.005,-2.211e-5
23.957,7670.893,771.475,-782.899,149.356,-11.188,35.456,0.429,0.036,1.116e-7,-0.005,8.884e-5
24.007,7678.347,772.709,-784.17,148.798,-11.151,35.432,0.524,0.172,1.116e-7,-0.005,6.124e-5
24.057,7685.773,773.943,-785.441,148.241,-11.101,35.402,0.674,0.344,1.116e-7,-0.003,5.828e-5
24.107,7693.171,775.176,-786.71,147.687,-11.066,35.366,0.765,0.458,1.116e-7,-0.001,5.763e-5
24.157,7700.542,776.407,-787.978,147.134,-11.046,35.327,0.796,0.516,1.119e-7,0.001,5.798e-5
24.207,7707.885,777.637,-789.244,146.582,-11.04,35.288,0.77,0.516,1.119e-7,0.004,5.787e-5
24.257,7715.2,778.865,-790.509,146.03,-11.047,35.251,0.695,0.401,1.12e-7,0.006,5.704e-5
24.307,7722.488,780.092,-791.773,145.478,-11.057,35.218,0.607,0.286,1.118e-7,0.007,6.08e-5
24.357,7729.748,781.318,-793.036,144.925,-11.065,35.19,0.533,0.229,1.118e-7,0.008,6.201e-5
24.407,7736.98,782.543,-794.298,144.371,-11.06,35.164,0.514,0.172,1.119e-7,0.009,5.446e-5
24.457,7744.185,783.768,-795.559,143.818,-11.084,35.141,0.38,0.003,1.118e-7,-0.01,1.592e-4
24.507,7751.362,784.991,-796.82,143.263,-11.116,35.126,0.223,0.229,1.118e-7,-0.009,-4.493e-5
24.557,7758.511,786.214,-798.08,142.707,-11.119,35.116,0.178,0.286,1.118e-7,-0.008,-4.962e-5
24.607,7765.632,787.437,-799.34,142.151,-11.108,35.108,0.181,0.286,1.118e-7,-0.007,-5.704e-5
24.657,7772.726,788.66,-800.599,141.596,-11.094,35.098,0.196,0.286,1.117e-7,-0.006,-6.24e-5
24.707,7779.792,789.882,-801.858,141.042,-11.084,35.088,0.196,0.286,1.116e-7,-0.004,-6.435e-5
24.757,7786.83,791.103,-803.117,140.487,-11.083,35.08,0.161,0.286,1.116e-7,-0.003,-6.333e-5
24.807,7793.841,792.325,-804.375,139.934,-11.064,35.071,0.19,0.286,1.116e-7,-0.002,-6.31e-5
24.857,7800.824,793.546,-805.634,139.381,-11.039,35.06,0.239,0.172,1.115e-7,-9.549e-4,-6.417e-5
24.907,7807.779,794.767,-806.891,138.829,-11.034,35.049,0.217,0.229,1.116e-7,-4.116e-5,-6.377e-5
24.957,7814.707,795.987,-808.149,138.278,-11.018,35.038,0.233,0.229,1.115e-7,7.958e-4,-6.419e-5
25.007,7821.607,797.207,-809.406,137.728,-10.994,35.025,0.277,0.115,1.115e-7,0.002,-6.618e-5
25.057,7828.479,798.426,-810.662,137.179,-10.966,35.01,0.336,0.041,1.115e-7,0.002,-7.679e-5
25.107,7835.325,799.645,-811.918,136.631,-10.946,34.992,0.366,0.01,1.115e-7,-0.002,-1.081e-5
25.157,7842.143,800.863,-813.173,136.084,-10.942,34.974,0.34,0.024,1.115e-7,0.002,-1.079e-4
25.207,7848.933,802.08,-814.428,135.537,-10.923,34.957,0.365,0.021,1.115e-7,-0.002,-1.074e-6
25.257,7855.696,803.297,-815.682,134.991,-10.91,34.939,0.371,0.036,1.115e-7,-0.002,2.198e-5
25.307,7862.432,804.513,-816.936,134.447,-10.877,34.918,0.454,0.172,1.116e-7,-0.001,5.039e-5
25.357,7869.141,805.728,-818.188,133.903,-10.854,34.894,0.498,0.229,1.116e-7,-6.366e-4,5.322e-5
25.407,7875.823,806.943,-819.44,133.362,-10.816,34.866,0.601,0.401,1.114e-7,6.366e-4,5.293e-5
25.457,7882.477,808.156,-820.691,132.821,-10.799,34.836,0.625,0.458,1.114e-7,0.002,5.074e-5
25.507,7889.105,809.368,-821.941,132.282,-10.785,34.804,0.64,0.516,1.113e-7,0.004,5.032e-5
25.557,7895.705,810.579,-823.189,131.742,-10.793,34.774,0.572,0.401,1.113e-7,0.006,4.896e-5
25.607,7902.279,811.789,-824.437,131.203,-10.788,34.745,0.558,0.344,1.112e-7,0.007,4.73e-5
25.657,7908.826,812.998,-825.683,130.663,-10.798,34.719,0.486,0.229,1.113e-7,0.008,4.159e-5
25.707,7915.345,814.207,-826.929,130.123,-10.804,34.697,0.431,0.172,1.113e-7,0.009,2.959e-5
25.757,7921.838,815.414,-828.174,129.583,-10.798,34.675,0.423,0.172,1.114e-7,0.01,2.198e-5
25.807,7928.304,816.621,-829.418,129.043,-10.81,34.656,0.349,0.025,1.114e-7,0.01,-1.592e-4
25.857,7934.742,817.827,-830.662,128.502,-10.813,34.639,0.312,0.04,1.114e-7,-0.01,-1.592e-4
25.907,7941.154,819.032,-831.905,127.961,-10.844,34.627,0.178,0.286,1.113e-7,-0.009,-8.403e-5
25.957,7947.538,820.237,-833.148,127.418,-10.864,34.621,0.085,0.458,1.115e-7,-0.008,-7.555e-5
26.007,7953.896,821.442,-834.39,126.875,-10.851,34.616,0.102,0.401,1.116e-7,-0.007,-7.574e-5
26.057,7960.226,822.647,-835.633,126.332,-10.868,34.613,0.02,0.573,1.116e-7,-0.005,-7.34e-5
26.107,7966.529,823.852,-836.875,125.789,-10.843,34.611,0.071,0.458,1.115e-7,-0.003,-7.366e-5
26.157,7972.805,825.056,-838.118,125.248,-10.82,34.606,0.114,0.401,1.114e-7,-0.002,-7.214e-5
26.207,7979.054,826.261,-839.36,124.707,-10.791,34.599,0.178,0.286,1.115e-7,-4.775e-4,-7.265e-5
26.257,7985.275,827.465,-840.602,124.168,-10.77,34.589,0.214,0.229,1.115e-7,3.183e-4,-7.119e-5
26.307,7991.47,828.668,-841.843,123.63,-10.757,34.578,0.225,0.172,1.114e-7,9.549e-4,-7.202e-5
26.357,7997.638,829.872,-843.084,123.093,-10.733,34.566,0.27,0.115,1.114e-7,0.001,-7.48e-5
26.407,8003.78,831.074,-844.325,122.557,-10.703,34.551,0.336,0.037,1.114e-7,-0.001,5.835e-5
26.457,8009.894,832.277,-845.565,122.023,-10.676,34.532,0.395,0.172,1.114e-7,-0.001,6.726e-5
26.507,8015.982,833.478,-846.804,121.489,-10.655,34.512,0.432,0.229,1.113e-7,-4.775e-4,6.807e-5
26.557,8022.043,834.679,-848.043,120.957,-10.636,34.489,0.465,0.286,1.113e-7,3.183e-4,6.799e-5
26.607,8028.078,835.878,-849.281,120.425,-10.622,34.466,0.48,0.344,1.113e-7,0.001,6.648e-5
26.657,8034.086,837.077,-850.518,119.895,-10.611,34.441,0.487,0.344,1.112e-7,0.002,6.61e-5
26.707,8040.067,838.276,-851.754,119.364,-10.618,34.418,0.435,0.286,1.112e-7,0.003,6.481e-5
26.757,8046.022,839.473,-852.989,118.833,-10.623,34.398,0.389,0.172,1.112e-7,0.004,6.484e-5
26.807,8051.95,840.669,-854.224,118.302,-10.606,34.378,0.418,0.229,1.112e-7,0.005,6.363e-5
26.857,8057.852,841.865,-855.458,117.772,-10.612,34.358,0.372,0.172,1.112e-7,0.005,5.835e-5
26.907,8063.728,843.061,-856.691,117.241,-10.61,34.34,0.35,0.115,1.112e-7,0.006,5.029e-5
26.957,8069.576,844.255,-857.924,116.71,-10.626,34.324,0.271,0.052,1.112e-7,-0.006,-1.093e-4
27.007,8075.399,845.449,-859.156,116.179,-10.631,34.312,0.232,0.115,1.112e-7,-0.006,-8.693e-5
27.057,8081.194,846.643,-860.388,115.647,-10.628,34.301,0.215,0.172,1.112e-7,-0.005,-8.598e-5
27.107,8086.963,847.836,-861.619,115.117,-10.595,34.288,0.294,0.004,1.112e-7,0.005,-7.958e-4
27.157,8092.706,849.029,-862.85,114.587,-10.584,34.273,0.306,0.033,1.112e-7,0.005,-4.738e-5
27.207,8098.422,850.221,-864.081,114.058,-10.578,34.258,0.297,0.017,1.112e-7,0.005,-1.592e-4
27.257,8104.112,851.413,-865.311,113.53,-10.56,34.242,0.331,0.115,1.112e-7,0.005,2.734e-5
27.307,8109.775,852.604,-866.54,113.002,-10.54,34.225,0.368,0.172,1.112e-7,0.005,4.935e-5
27.357,8115.412,853.794,-867.769,112.475,-10.538,34.207,0.35,0.172,1.112e-7,0.006,4.439e-5
27.407,8121.023,854.984,-868.997,111.948,-10.543,34.19,0.313,0.057,1.112e-7,0.006,5.362e-6
27.457,8126.607,856.173,-870.224,111.421,-10.535,34.175,0.314,0.057,1.112e-7,0.006,2.042e-5
27.507,8132.165,857.362,-871.452,110.895,-10.531,34.159,0.303,0.045,1.112e-7,0.007,4.749e-6
27.557,8137.696,858.55,-872.678,110.368,-10.546,34.146,0.236,0.115,1.112e-7,-0.006,-1.102e-4
27.607,8143.202,859.737,-873.904,109.841,-10.52,34.133,0.292,0.023,1.112e-7,0.006,1.092e-5
27.657,8148.68,860.925,-875.13,109.316,-10.504,34.118,0.316,0.057,1.112e-7,0.006,7.714e-5
27.707,8154.133,862.111,-876.355,108.791,-10.481,34.1,0.365,0.229,1.112e-7,0.007,8.715e-5
27.757,8159.56,863.297,-877.579,108.267,-10.49,34.083,0.317,0.115,1.113e-7,0.007,9.621e-5
27.807,8164.96,864.482,-878.803,107.742,-10.485,34.068,0.31,0.057,1.113e-7,0.007,1.067e-4
27.857,8170.334,865.667,-880.026,107.218,-10.49,34.053,0.275,0.01,1.113e-7,-0.007,1.278e-4
27.907,8175.682,866.852,-881.249,106.693,-10.509,34.041,0.201,0.172,1.113e-7,-0.007,-7.296e-5
27.957,8181.003,868.035,-882.472,106.168,-10.505,34.031,0.193,0.229,1.113e-7,-0.007,-7.361e-5
28.007,8186.298,869.219,-883.694,105.642,-10.525,34.024,0.117,0.401,1.113e-7,-0.006,-7.729e-5
28.057,8191.567,870.402,-884.916,105.115,-10.532,34.019,0.078,0.516,1.112e-7,-0.005,-7.951e-5
28.107,8196.81,871.586,-886.138,104.589,-10.519,34.015,0.095,0.458,1.112e-7,-0.004,-8.066e-5
28.157,8202.026,872.769,-887.359,104.064,-10.485,34.008,0.168,0.286,1.112e-7,-0.003,-8.033e-5
28.207,8207.216,873.951,-888.581,103.54,-10.489,34,0.137,0.344,1.111e-7,-0.002,-8.101e-5
28.257,8212.38,875.134,-889.802,103.015,-10.501,33.995,0.082,0.516,1.111e-7,-0.001,-8.107e-5
28.307,8217.518,876.316,-891.023,102.49,-10.499,33.991,0.067,0.516,1.111e-7,-6.357e-5,-8.087e-5
28.357,8222.629,877.498,-892.244,101.965,-10.499,33.989,0.045,0.573,1.111e-7,0.001,-8.085e-5
28.407,8227.714,878.68,-893.465,101.441,-10.473,33.985,0.094,0.458,1.112e-7,0.002,-8.141e-5
28.457,8232.773,879.862,-894.685,100.918,-10.45,33.979,0.134,0.344,1.111e-7,0.003,-7.947e-5
28.507,8237.806,881.044,-895.906,100.396,-10.418,33.971,0.2,0.172,1.111e-7,0.004,-6.903e-5
28.557,8242.813,882.225,-897.126,99.876,-10.388,33.959,0.262,0.04,1.111e-7,-0.004,1.592e-4
28.607,8247.794,883.406,-898.345,99.357,-10.361,33.945,0.316,0.229,1.111e-7,-0.004,1.061e-4
28.657,8252.749,884.586,-899.565,98.84,-10.326,33.927,0.393,0.458,1.111e-7,-0.003,9.931e-5
28.707,8257.678,885.766,-900.783,98.324,-10.305,33.907,0.432,0.573,1.111e-7,-0.002,9.788e-5
28.757,8262.581,886.945,-902.001,97.81,-10.267,33.883,0.521,0.859,1.112e-7,-4.775e-4,9.707e-5
28.807,8267.459,888.123,-903.217,97.297,-10.264,33.857,0.511,0.802,1.112e-7,0.001,9.724e-5
28.857,8272.311,889.3,-904.433,96.784,-10.261,33.832,0.498,0.802,1.112e-7,0.003,9.809e-5
28.907,8277.137,890.476,-905.648,96.271,-10.257,33.807,0.49,0.802,1.112e-7,0.004,9.936e-5
28.957,8281.938,891.651,-906.862,95.758,-10.246,33.782,0.502,0.859,1.112e-7,0.006,9.955e-5
29.007,8286.713,892.825,-908.076,95.246,-10.239,33.757,0.503,0.859,1.112e-7,0.008,9.933e-5
29.057,8291.462,893.999,-909.288,94.734,-10.256,33.734,0.435,0.63,1.113e-7,0.009,9.844e-5
29.107,8296.186,895.171,-910.5,94.221,-10.254,33.712,0.424,0.63,1.113e-7,0.01,9.837e-5
29.157,8300.884,896.343,-911.711,93.708,-10.263,33.692,0.382,0.516,1.113e-7,0.011,9.771e-5
29.207,8305.557,897.514,-912.921,93.194,-10.282,33.675,0.311,0.286,1.112e-7,0.012,9.304e-5
29.257,8310.204,898.685,-914.13,92.68,-10.276,33.659,0.313,0.286,1.112e-7,0.012,9.589e-5
29.307,8314.825,899.855,-915.34,92.166,-10.291,33.645,0.26,0.115,1.112e-7,0.013,8.259e-5
29.357,8319.421,901.025,-916.548,91.652,-10.285,33.632,0.262,0.115,1.112e-7,0.013,9.213e-5
29.407,8323.99,902.194,-917.757,91.137,-10.295,33.62,0.222,0.022,1.112e-7,-0.013,-1.592e-4
29.457,8328.534,903.362,-918.964,90.623,-10.288,33.608,0.227,0.004,1.112e-7,-0.013,-3.183e-4
29.507,8333.053,904.531,-920.172,90.109,-10.284,33.597,0.225,0.014,1.112e-7,-0.013,-1.468e-4
29.557,8337.545,905.699,-921.379,89.594,-10.29,33.587,0.198,0.115,1.112e-7,-0.013,-1.15e-4
29.607,8342.012,906.866,-922.586,89.08,-10.284,33.577,0.198,0.115,1.112e-7,-0.013,-1.144e-4
29.657,8346.453,908.033,-923.792,88.565,-10.295,33.568,0.161,0.229,1.112e-7,-0.012,-1.137e-4
29.707,8350.868,909.2,-924.998,88.05,-10.314,33.561,0.103,0.458,1.112e-7,-0.012,-1.141e-4
29.757,8355.258,910.367,-926.204,87.534,-10.334,33.558,0.044,0.688,1.112e-7,-0.011,-1.146e-4
29.807,8359.622,911.534,-927.41,87.017,-10.324,33.555,0.059,0.63,1.112e-7,-0.01,-1.168e-4
29.857,8363.96,912.7,-928.616,86.501,-10.326,33.553,0.041,0.688,1.112e-7,-0.009,-1.172e-4
29.907,8368.272,913.867,-929.821,85.985,-10.311,33.55,0.064,0.63,1.111e-7,-0.008,-1.187e-4
29.957,8372.558,915.033,-931.027,85.47,-10.303,33.547,0.07,0.63,1.111e-7,-0.007,-1.197e-4
30.007,8376.819,916.199,-932.232,84.955,-10.299,33.543,0.068,0.63,1.111e-7,-0.006,-1.21e-4
30.057,8381.054,917.365,-933.438,84.44,-10.289,33.54,0.076,0.573,1.111e-7,-0.005,-1.22e-4
30.107,8385.263,918.531,-934.643,83.926,-10.271,33.535,0.106,0.458,1.111e-7,-0.004,-1.234e-4
30.157,8389.446,919.697,-935.848,83.413,-10.239,33.528,0.163,0.229,1.111e-7,-0.003,-1.301e-4
30.207,8393.604,920.862,-937.053,82.902,-10.227,33.52,0.178,0.172,1.111e-7,-0.003,-1.369e-4
30.257,8397.737,922.027,-938.257,82.391,-10.22,33.511,0.18,0.172,1.111e-7,-0.003,-1.405e-4
30.307,8401.843,923.192,-939.461,81.879,-10.229,33.503,0.146,0.286,1.111e-7,-0.003,-1.335e-4
30.357,8405.925,924.356,-940.665,81.368,-10.228,33.496,0.133,0.344,1.111e-7,-0.002,-1.329e-4
30.407,8409.98,925.521,-941.869,80.857,-10.212,33.489,0.155,0.229,1.111e-7,-0.002,-1.363e-4
30.457,8414.01,926.685,-943.072,80.347,-10.189,33.48,0.193,0.057,1.111e-7,-0.001,-1.592e-4
30.507,8418.015,927.848,-944.275,79.838,-10.168,33.469,0.228,0.115,1.111e-7,0.001,1.126e-4
30.557,8421.994,929.012,-945.478,79.33,-10.154,33.457,0.246,0.229,1.111e-7,0.002,1.217e-4
30.607,8425.948,930.174,-946.68,78.822,-10.148,33.445,0.245,0.229,1.111e-7,0.002,1.224e-4
30.657,8429.876,931.337,-947.882,78.315,-10.129,33.432,0.276,0.344,1.111e-7,0.002,1.285e-4
30.707,8433.779,932.498,-949.084,77.809,-10.121,33.418,0.281,0.401,1.111e-7,0.003,1.292e-4
30.757,8437.657,933.66,-950.284,77.304,-10.1,33.403,0.315,0.573,1.111e-7,0.004,1.326e-4
30.807,8441.51,934.821,-951.485,76.799,-10.071,33.386,0.368,0.802,1.111e-7,0.004,1.36e-4
30.857,8445.337,935.981,-952.684,76.297,-10.035,33.366,0.44,1.146,1.111e-7,0.006,1.385e-4
30.907,8449.14,937.14,-953.883,75.795,-10.029,33.344,0.439,1.146,1.111e-7,0.007,1.386e-4
30.957,8452.917,938.299,-955.081,75.294,-10.028,33.322,0.429,1.146,1.111e-7,0.009,1.385e-4
31.007,8456.669,939.456,-956.279,74.792,-10.029,33.301,0.414,1.089,1.111e-7,0.01,1.383e-4
31.057,8460.396,940.613,-957.475,74.291,-10.035,33.281,0.388,0.974,1.111e-7,0.011,1.371e-4
31.107,8464.098,941.77,-958.671,73.789,-10.05,33.263,0.345,0.802,1.111e-7,0.012,1.336e-4
31.157,8467.775,942.925,-959.867,73.286,-10.059,33.246,0.314,0.63,1.111e-7,0.013,1.298e-4
31.207,8471.427,944.081,-961.062,72.783,-10.04,33.23,0.343,0.802,1.111e-7,0.014,1.367e-4
31.257,8475.053,945.235,-962.256,72.281,-10.051,33.214,0.31,0.63,1.111e-7,0.015,1.32e-4
31.307,8478.655,946.389,-963.449,71.778,-10.057,33.199,0.288,0.573,1.111e-7,0.016,1.274e-4
31.357,8482.231,947.543,-964.643,71.276,-10.05,33.184,0.293,0.573,1.111e-7,0.016,1.311e-4
31.407,8485.782,948.696,-965.835,70.773,-10.058,33.17,0.268,0.458,1.111e-7,0.017,1.231e-4
31.457,8489.308,949.848,-967.028,70.27,-10.079,33.158,0.218,0.172,1.111e-7,0.017,5.922e-5
31.507,8492.809,951,-968.219,69.765,-10.106,33.149,0.156,0.172,1.111e-7,-0.017,-3.183e-4
31.557,8496.285,952.152,-969.411,69.26,-10.108,33.141,0.145,0.229,1.111e-7,-0.017,-3.183e-4
31.607,8499.735,953.304,-970.602,68.754,-10.114,33.134,0.128,0.344,1.111e-7,-0.017,-1.592e-4
31.657,8503.16,954.455,-971.793,68.248,-10.109,33.128,0.132,0.344,1.111e-7,-0.016,-1.592e-4
31.707,8506.56,955.606,-972.984,67.743,-10.105,33.121,0.133,0.344,1.111e-7,-0.016,-1.592e-4
31.757,8509.935,956.757,-974.175,67.238,-10.112,33.115,0.113,0.458,1.111e-7,-0.015,-1.592e-4
31.807,8513.284,957.907,-975.365,66.732,-10.124,33.11,0.085,0.63,1.111e-7,-0.015,-1.592e-4
31.857,8516.608,959.058,-976.555,66.226,-10.119,33.106,0.088,0.63,1.111e-7,-0.014,-1.592e-4
31.907,8519.906,960.208,-977.746,65.72,-10.123,33.102,0.075,0.688,1.111e-7,-0.014,-1.592e-4
31.957,8523.18,961.358,-978.936,65.214,-10.119,33.098,0.075,0.688,1.111e-7,-0.013,-1.592e-4
32.007,8526.428,962.508,-980.125,64.708,-10.123,33.095,0.061,0.802,1.111e-7,-0.012,-1.592e-4
32.057,8529.65,963.658,-981.315,64.201,-10.129,33.092,0.045,0.917,1.111e-7,-0.011,-1.592e-4
32.107,8532.848,964.808,-982.505,63.695,-10.13,33.09,0.037,0.974,1.111e-7,-0.01,-1.592e-4
32.157,8536.02,965.958,-983.695,63.188,-10.127,33.088,0.035,0.974,1.111e-7,-0.01,-1.592e-4
32.207,8539.167,967.108,-984.884,62.682,-10.13,33.087,0.024,1.031,1.111e-7,-0.009,-1.592e-4
32.257,8542.288,968.257,-986.074,62.175,-10.13,33.086,0.016,1.089,1.111e-7,-0.007,-1.592e-4
32.307,8545.384,969.407,-987.263,61.669,-10.117,33.085,0.031,1.031,1.111e-7,-0.007,-1.592e-4
32.357,8548.455,970.557,-988.453,61.163,-10.111,33.083,0.033,1.031,1.111e-7,-0.006,-1.592e-4
32.407,8551.501,971.706,-989.642,60.658,-10.093,33.081,0.055,0.859,1.111e-7,-0.005,-1.592e-4
32.457,8554.521,972.855,-990.831,60.155,-10.061,33.077,0.099,0.516,1.111e-7,-0.004,-1.592e-4
32.507,8557.516,974.005,-992.02,59.652,-10.053,33.072,0.104,0.458,1.111e-7,-0.004,-1.592e-4
32.557,8560.486,975.154,-993.209,59.149,-10.048,33.067,0.104,0.458,1.111e-7,-0.003,-1.592e-4
32.607,8563.431,976.303,-994.398,58.647,-10.026,33.061,0.131,0.229,1.111e-7,-0.003,-3.183e-4
32.657,8566.351,977.451,-995.587,58.147,-9.999,33.053,0.17,0.057,1.111e-7,0.003,6.918e-5
32.707,8569.246,978.599,-996.775,57.647,-9.99,33.045,0.175,0.115,1.111e-7,0.003,1.321e-4
32.757,8572.115,979.747,-997.963,57.148,-9.977,33.036,0.189,0.286,1.111e-7,0.003,1.592e-4
32.807,8574.96,980.895,-999.151,56.649,-9.964,33.026,0.202,0.401,1.111e-7,0.004,1.592e-4
32.857,8577.78,982.042,-1000.338,56.152,-9.93,33.014,0.251,0.802,1.111e-7,0.004,1.592e-4
32.907,8580.576,983.189,-1001.525,55.656,-9.923,33.002,0.255,0.859,1.111e-7,0.005,1.592e-4
32.957,8583.346,984.336,-1002.711,55.16,-9.917,32.989,0.257,0.917,1.111e-7,0.005,1.592e-4
33.007,8586.092,985.482,-1003.897,54.664,-9.907,32.976,0.266,0.974,1.111e-7,0.006,1.592e-4
33.057,8588.812,986.627,-1005.083,54.169,-9.884,32.962,0.296,1.261,1.111e-7,0.007,1.592e-4
33.107,8591.509,987.772,-1006.267,53.675,-9.882,32.947,0.292,1.261,1.111e-7,0.008,1.592e-4
33.157,8594.18,988.916,-1007.452,53.181,-9.871,32.932,0.302,1.375,1.111e-7,0.009,1.592e-4
33.207,8596.827,990.06,-1008.636,52.688,-9.877,32.918,0.285,1.261,1.111e-7,0.01,1.592e-4
33.257,8599.449,991.204,-1009.819,52.194,-9.858,32.903,0.309,1.49,1.111e-7,0.011,1.592e-4
33.307,8602.046,992.346,-1011.002,51.701,-9.852,32.887,0.311,1.547,1.111e-7,0.012,1.592e-4
33.357,8604.619,993.489,-1012.184,51.209,-9.851,32.872,0.306,1.547,1.111e-7,0.013,1.592e-4
33.407,8607.167,994.63,-1013.366,50.716,-9.853,32.857,0.294,1.49,1.111e-7,0.014,1.592e-4
33.457,8609.69,995.772,-1014.548,50.224,-9.849,32.842,0.294,1.49,1.111e-7,0.015,1.592e-4
33.507,8612.189,996.912,-1015.728,49.732,-9.832,32.827,0.314,1.719,1.111e-7,0.016,1.592e-4
33.557,8614.664,998.052,-1016.908,49.241,-9.808,32.81,0.345,2.005,1.111e-7,0.017,1.592e-4
33.607,8617.113,999.192,-1018.088,48.75,-9.823,32.794,0.315,1.776,1.111e-7,0.018,1.592e-4
33.657,8619.539,1000.331,-1019.267,48.259,-9.81,32.778,0.328,1.891,1.111e-7,0.019,1.592e-4
33.707,8621.939,1001.469,-1020.446,47.769,-9.804,32.762,0.33,1.948,1.111e-7,0.021,1.592e-4
33.757,8624.316,1002.607,-1021.624,47.279,-9.805,32.745,0.322,1.891,1.111e-7,0.022,1.592e-4
33.807,8626.667,1003.744,-1022.801,46.788,-9.801,32.729,0.321,1.891,1.111e-7,0.023,1.592e-4
33.857,8628.994,1004.881,-1023.978,46.298,-9.8,32.713,0.316,1.891,1.111e-7,0.024,1.592e-4
33.907,8631.297,1006.017,-1025.154,45.808,-9.829,32.699,0.27,1.49,1.111e-7,0.025,1.592e-4
33.957,8633.575,1007.152,-1026.33,45.316,-9.85,32.686,0.234,1.146,1.111e-7,0.026,1.592e-4
34.007,8635.829,1008.288,-1027.505,44.823,-9.864,32.675,0.21,0.917,1.111e-7,0.026,1.284e-4
34.057,8638.057,1009.422,-1028.68,44.33,-9.864,32.665,0.207,0.859,1.111e-7,0.027,1.295e-4
34.107,8640.262,1010.557,-1029.855,43.836,-9.884,32.655,0.177,0.516,1.111e-7,0.027,-7.031e-6
34.157,8642.441,1011.691,-1031.029,43.341,-9.909,32.647,0.141,0.115,1.111e-7,0.027,-0.002
34.207,8644.596,1012.825,-1032.203,42.845,-9.925,32.641,0.116,0.229,1.111e-7,-0.027,-0.001
34.257,8646.725,1013.958,-1033.377,42.348,-9.953,32.636,0.08,0.688,1.111e-7,-0.027,-6.366e-4
34.307,8648.83,1015.092,-1034.551,41.85,-9.985,32.633,0.04,1.261,1.111e-7,-0.026,-4.775e-4
34.357,8650.91,1016.225,-1035.724,41.35,-9.997,32.631,0.024,1.49,1.111e-7,-0.026,-4.775e-4
34.407,8652.965,1017.359,-1036.898,40.851,-9.991,32.63,0.031,1.432,1.111e-7,-0.025,-4.775e-4
34.457,8654.995,1018.492,-1038.071,40.351,-9.998,32.629,0.021,1.547,1.111e-7,-0.024,-4.775e-4
34.507,8657.001,1019.625,-1039.245,39.851,-9.992,32.627,0.026,1.49,1.111e-7,-0.023,-4.775e-4
34.557,8658.981,1020.758,-1040.418,39.351,-9.993,32.626,0.023,1.604,1.111e-7,-0.022,-4.775e-4
34.607,8660.936,1021.892,-1041.592,38.852,-9.982,32.625,0.034,1.432,1.111e-7,-0.022,-4.775e-4
34.657,8662.866,1023.025,-1042.765,38.353,-9.964,32.623,0.051,1.203,1.111e-7,-0.021,-4.775e-4
34.707,8664.771,1024.158,-1043.938,37.856,-9.952,32.62,0.061,1.031,1.111e-7,-0.021,-4.775e-4
34.757,8666.651,1025.291,-1045.112,37.358,-9.947,32.617,0.064,1.031,1.111e-7,-0.02,-4.775e-4
34.807,8668.507,1026.424,-1046.285,36.861,-9.953,32.614,0.055,1.203,1.111e-7,-0.019,-4.775e-4
34.857,8670.337,1027.556,-1047.458,36.363,-9.952,32.611,0.054,1.203,1.111e-7,-0.019,-4.775e-4
34.907,8672.143,1028.689,-1048.63,35.865,-9.95,32.608,0.053,1.203,1.111e-7,-0.018,-4.775e-4
34.957,8673.924,1029.822,-1049.803,35.368,-9.948,32.606,0.052,1.261,1.111e-7,-0.018,-4.775e-4
35.007,8675.68,1030.954,-1050.976,34.871,-9.938,32.603,0.059,1.146,1.111e-7,-0.017,-4.775e-4
35.057,8677.411,1032.086,-1052.149,34.374,-9.923,32.6,0.071,0.917,1.111e-7,-0.017,-6.366e-4
35.107,8679.117,1033.219,-1053.321,33.878,-9.913,32.596,0.078,0.802,1.111e-7,-0.016,-6.366e-4
35.157,8680.799,1034.351,-1054.493,33.383,-9.912,32.592,0.075,0.802,1.111e-7,-0.016,-6.366e-4
35.207,8682.456,1035.483,-1055.665,32.888,-9.896,32.588,0.088,0.573,1.111e-7,-0.016,-6.366e-4
35.257,8684.088,1036.614,-1056.837,32.393,-9.881,32.583,0.099,0.344,1.111e-7,-0.016,-9.549e-4
35.307,8685.695,1037.746,-1058.009,31.899,-9.88,32.579,0.096,0.344,1.111e-7,-0.015,-9.549e-4
35.357,8687.278,1038.877,-1059.181,31.405,-9.886,32.574,0.086,0.573,1.111e-7,-0.015,-7.958e-4
35.407,8688.835,1040.009,-1060.353,30.911,-9.882,32.57,0.086,0.516,1.111e-7,-0.015,-7.958e-4
35.457,8690.369,1041.14,-1061.524,30.417,-9.863,32.565,0.101,0.172,1.111e-7,-0.015,-0.002
