# Time (s),Altitude (m),Position East of launch (m),Position North of launch (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Lateral velocity (m/s),Lateral acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s)
77.897,7278.356,1119.311,-1146.138,-39.104,0.078,5.102,0.063,72.422,1.111e-7,0.039,3.183e-4
78.397,7258.813,1117.506,-1144.324,-39.066,0.077,5.134,0.027,72.651,1.111e-7,0.039,3.183e-4
78.897,7239.29,1115.693,-1142.501,-39.027,0.077,5.148,0.063,73.167,1.111e-7,0.039,3.183e-4
79.397,7219.787,1113.884,-1140.682,-38.988,0.079,5.116,0.207,73.969,1.111e-7,0.039,3.183e-4
79.897,7200.302,1112.098,-1138.887,-38.949,0.083,5.013,0.378,75,1.111e-7,0.039,1.592e-4
80.397,7180.838,1110.364,-1137.143,-38.908,0.074,4.824,0.039,72.995,1.111e-7,0.039,3.183e-4
80.897,7161.393,1108.667,-1135.436,-38.871,0.079,4.805,0.242,71.391,1.111e-7,0.039,3.183e-4
81.397,7141.968,1106.951,-1133.711,-38.832,0.079,4.926,0.252,71.333,1.111e-7,0.039,3.183e-4
81.897,7122.562,1105.192,-1131.942,-38.792,0.076,5.052,0.041,72.995,1.111e-7,0.039,3.183e-4
82.397,7103.175,1103.415,-1130.155,-38.754,0.076,5.031,0.052,73.109,1.111e-7,0.039,3.183e-4
82.897,7083.808,1101.645,-1128.376,-38.716,0.077,5.006,0.008,72.823,1.111e-7,0.039,3.183e-4
83.397,7064.459,1099.881,-1126.602,-38.678,0.077,5.001,0.066,72.422,1.111e-7,0.039,3.183e-4
83.897,7045.13,1098.112,-1124.823,-38.639,0.079,5.034,0.21,71.562,1.111e-7,0.039,3.183e-4
84.397,7025.82,1096.318,-1123.02,-38.599,0.076,5.139,0.033,72.995,1.111e-7,0.039,3.183e-4
84.897,7006.53,1094.509,-1121.201,-38.561,0.077,5.123,0.138,71.963,1.111e-7,0.039,3.183e-4
85.397,6987.259,1092.69,-1119.373,-38.523,0.076,5.192,0.052,72.479,1.111e-7,0.039,3.183e-4
