# Time (s),Position East of launch (m),Position North of launch (m),Vertical acceleration (m/s²),Lateral acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Air temperature (°C),Air pressure (mbar)
305.351,296.723,-320.599,0.02,0.648,69.041,1.111e-7,0.039,3.183e-4,34.364,898.2
305.753,295.297,-319.172,-0.015,0.269,71.219,1.111e-7,0.039,3.183e-4,34.393,898.5
306.154,293.817,-317.692,0.003,0.274,74.427,1.111e-7,0.039,1.592e-4,34.422,898.8
306.556,292.338,-316.213,0.014,0.558,76.031,1.111e-7,0.039,1.592e-4,34.451,899.1
306.957,290.908,-314.782,-0.012,0.173,71.792,1.111e-7,0.039,3.183e-4,34.48,899.4
307.358,289.498,-313.372,0.002,0.112,73.453,1.111e-7,0.039,1.592e-4,34.509,899.7
307.759,288.086,-311.96,0.002,0.002,72.766,1.111e-7,0.039,3.183e-4,34.538,900
308.16,286.681,-310.555,0.012,0.44,75.344,1.111e-7,0.039,1.592e-4,34.567,900.3
308.561,285.301,-309.174,0.005,0.497,69.901,1.111e-7,0.039,3.183e-4,34.595,900.7
308.962,283.916,-307.79,-0.01,0.081,73.281,1.111e-7,0.039,1.592e-4,34.624,901
309.363,282.509,-306.381,0.004,0.215,74.083,1.111e-7,0.039,1.592e-4,34.653,901.3
309.764,281.119,-304.991,6.272e-4,0.104,73.396,1.111e-7,0.039,1.592e-4,34.682,901.6
310.164,279.747,-303.619,0.002,0.035,72.995,1.111e-7,0.039,3.183e-4,34.711,901.9
310.565,278.384,-302.256,0.021,0.612,69.213,1.111e-7,0.039,3.183e-4,34.74,902.2
310.966,276.988,-300.859,-0.009,0.378,70.588,1.111e-7,0.039,3.183e-4,34.768,902.5
311.367,275.535,-299.406,0.035,0.882,67.666,1.111e-7,0.039,3.183e-4,34.797,902.8
311.767,274.011,-297.881,-0.025,0.487,69.958,1.111e-7,0.039,3.183e-4,34.826,903.1
312.168,272.407,-296.277,-0.01,0.01,72.766,1.111e-7,0.039,3.183e-4,34.855,903.4
312.569,270.777,-294.647,0.01,0.375,70.588,1.111e-7,0.039,3.183e-4,34.884,903.8
312.969,269.126,-292.996,-3.802e-4,0.294,74.542,1.111e-7,0.039,1.592e-4,34.912,904.1
313.37,267.471,-291.34,0.028,0.773,77.292,1.111e-7,0.039,1.592e-4,34.941,904.4
313.77,265.876,-289.746,-0.017,0.471,75.573,1.111e-7,0.039,1.592e-4,34.97,904.7
314.171,264.351,-288.22,0.005,0.528,69.729,1.111e-7,0.039,3.183e-4,34.999,905
314.571,262.823,-286.692,0.005,0.57,76.146,1.111e-7,0.039,1.592e-4,35.027,905.3
314.972,261.298,-285.167,0.109,1.576,81.818,1.111e-7,0.039,1.49e-4,35.056,905.6
315.372,259.895,-283.763,-0.11,0.457,70.073,1.111e-7,0.039,3.183e-4,35.085,905.9
315.775,258.548,-282.415,0.017,0.699,68.698,1.111e-7,0.039,3.183e-4,35.114,906.2
316.175,257.143,-281.01,-0.021,0.179,71.734,1.111e-7,0.039,3.183e-4,35.142,906.5
316.575,255.687,-279.554,0.002,0.151,73.682,1.111e-7,0.039,1.592e-4,35.168,906.8
316.975,254.232,-278.099,0.004,0.298,74.542,1.111e-7,0.039,1.592e-4,35.178,906.9
317.375,252.802,-276.668,0.01,0.511,69.786,1.111e-7,0.039,3.183e-4,35.189,907
317.775,251.36,-275.226,0.011,0.676,68.87,1.111e-7,0.039,3.183e-4,35.2,907.2
318.175,249.85,-273.716,-0.021,0.188,73.912,1.111e-7,0.039,1.592e-4,35.211,907.3
318.575,248.312,-272.177,-5.414e-4,0.079,73.281,1.111e-7,0.039,1.592e-4,35.221,907.4
318.975,246.79,-270.655,0.001,0.096,72.25,1.111e-7,0.039,3.183e-4,35.232,907.5
319.375,245.268,-269.133,0.014,0.512,75.802,1.111e-7,0.039,1.592e-4,35.243,907.6
319.774,243.769,-267.634,-0.012,0.118,73.51,1.111e-7,0.039,1.592e-4,35.254,907.8
320.174,242.305,-266.17,0.047,0.959,78.381,1.111e-7,0.039,1.592e-4,35.265,907.9
320.574,240.903,-264.767,0.035,1.266,65.432,1.111e-7,0.039,3.183e-4,35.275,908
320.975,239.48,-263.344,-0.077,0.208,71.562,1.111e-7,0.039,3.183e-4,35.286,908.1
321.376,237.971,-261.835,0.027,0.743,68.468,1.111e-7,0.039,3.183e-4,35.297,908.2
321.776,236.414,-260.278,-0.02,0.368,74.943,1.111e-7,0.039,1.592e-4,35.308,908.4
322.176,234.835,-258.697,-0.005,0.144,71.963,1.111e-7,0.039,3.183e-4,35.319,908.5
322.576,233.269,-257.132,0.004,0.288,71.104,1.111e-7,0.039,3.183e-4,35.329,908.6
322.975,231.68,-255.542,3.088e-4,0.268,74.37,1.111e-7,0.039,1.592e-4,35.34,908.7
323.375,230.089,-253.951,0.057,1.089,79.125,1.111e-7,0.039,1.592e-4,35.351,908.8
323.774,228.576,-252.437,-0.054,0.31,74.599,1.111e-7,0.039,1.592e-4,35.362,908.9
324.175,227.137,-250.998,0.018,0.651,68.984,1.111e-7,0.039,3.183e-4,35.372,909.1
324.575,225.683,-249.544,0.018,0.869,67.724,1.111e-7,0.039,3.183e-4,35.383,909.2
324.975,224.142,-248.002,-0.035,0.235,74.198,1.111e-7,0.039,1.592e-4,35.394,909.3
325.375,222.564,-246.424,0.023,0.707,76.891,1.111e-7,0.039,1.592e-4,35.405,909.4
325.774,221.042,-244.902,-0.022,0.204,71.62,1.111e-7,0.039,3.183e-4,35.415,909.5
326.174,219.546,-243.406,0.004,0.317,74.656,1.111e-7,0.039,1.592e-4,35.426,909.7
326.574,218.059,-241.918,0.01,0.525,75.86,1.111e-7,0.039,1.592e-4,35.437,909.8
326.973,216.619,-240.478,0.013,0.712,68.64,1.111e-7,0.039,3.183e-4,35.448,909.9
327.373,215.168,-239.027,-0.023,0.167,71.792,1.111e-7,0.039,3.183e-4,35.459,910
327.773,213.667,-237.525,9.107e-5,0.107,72.193,1.111e-7,0.039,3.183e-4,35.469,910.1
328.273,211.768,-235.626,9.479e-4,0.087,72.307,1.111e-7,0.039,3.183e-4,35.483,910.3
328.672,210.239,-234.096,0.008,0.38,75,1.111e-7,0.039,1.592e-4,35.494,910.4
329.071,208.726,-232.584,1.51e-4,0.358,70.703,1.111e-7,0.039,3.183e-4,35.504,910.5
329.571,206.828,-230.685,0.024,0.756,68.411,1.111e-7,0.039,3.183e-4,35.518,910.7
329.971,205.244,-229.1,-0.028,0.074,72.365,1.111e-7,0.039,3.183e-4,35.529,910.8
330.371,203.611,-227.467,0.002,0.133,72.021,1.111e-7,0.039,3.183e-4,35.539,910.9
330.77,201.969,-225.825,6.994e-4,0.117,73.51,1.111e-7,0.039,1.592e-4,35.55,911
331.169,200.326,-224.181,0.013,0.504,75.745,1.111e-7,0.039,1.592e-4,35.561,911.1
331.568,198.718,-222.573,0.076,1.33,80.501,1.111e-7,0.039,1.592e-4,35.572,911.3
331.968,197.213,-221.068,-0.022,1.13,66.177,1.111e-7,0.039,3.183e-4,35.582,911.4
332.368,195.713,-219.567,-0.064,0.028,72.651,1.111e-7,0.039,3.183e-4,35.593,911.5
332.769,194.149,-218.003,0.012,0.473,70.015,1.111e-7,0.039,3.183e-4,35.604,911.6
333.168,192.562,-216.416,-0.01,0.083,72.307,1.111e-7,0.039,3.183e-4,35.615,911.7
333.567,190.943,-214.797,0.06,1.088,79.068,1.111e-7,0.039,1.592e-4,35.625,911.9
333.966,189.381,-213.235,-0.057,0.164,73.74,1.111e-7,0.039,1.592e-4,35.636,912
334.367,187.886,-211.739,0.02,0.628,76.433,1.111e-7,0.039,1.592e-4,35.647,912.1
334.766,186.44,-210.292,0.017,0.846,77.75,1.111e-7,0.039,1.592e-4,35.658,912.2
335.165,185.075,-208.928,-0.007,0.744,77.12,1.111e-7,0.039,1.592e-4,35.668,912.3
335.565,183.799,-207.652,-0.025,0.22,74.083,1.111e-7,0.039,1.592e-4,35.679,912.5
335.964,182.579,-206.431,-0.002,0.003,72.823,1.111e-7,0.039,3.183e-4,35.69,912.6
336.363,181.372,-205.224,0.023,0.657,68.984,1.111e-7,0.039,3.183e-4,35.701,912.7
336.762,180.129,-203.98,-0.019,0.205,74.026,1.111e-7,0.039,1.592e-4,35.711,912.8
337.161,178.859,-202.71,-9.8e-4,0.065,72.422,1.111e-7,0.039,3.183e-4,35.722,912.9
337.56,177.599,-201.449,0.046,0.944,67.323,1.111e-7,0.039,3.183e-4,35.733,913
337.959,176.281,-200.132,-0.017,0.727,68.526,1.111e-7,0.039,3.183e-4,35.744,913.2
338.359,174.867,-198.717,0.005,0.786,68.239,1.111e-7,0.039,3.183e-4,35.754,913.3
338.758,173.368,-197.218,-0.016,0.543,75.974,1.111e-7,0.039,1.592e-4,35.765,913.4
339.158,171.856,-195.705,0.007,0.642,76.547,1.111e-7,0.039,1.592e-4,35.776,913.5
339.557,170.412,-194.261,0.04,1.091,66.463,1.111e-7,0.039,3.183e-4,35.786,913.6
339.956,168.942,-192.79,-0.056,0.253,74.313,1.111e-7,0.039,1.592e-4,35.797,913.8
340.356,167.421,-191.27,0.007,0.423,75.287,1.111e-7,0.039,1.592e-4,35.808,913.9
340.564,166.646,-190.494,-0.005,0.079,73.281,1.111e-7,0.039,1.592e-4,35.814,913.9
